Time,Airport,Altamount,Vashi,Virar
24,35.9,45.8,16,83.3
25,35.9,45.8,16,83.3
26,35.9,45.8,16,83.3
27,35.9,45.8,16,83.3
28,35.9,45.8,16,83.3
29,35.9,45.8,16,83.3
23,38.9,48.8,19,86.3
24,38.9,48.8,19,86.3
25,38.9,48.8,19,86.3
26,38.9,48.8,19,86.3
27,38.9,48.8,19,86.3
28,38.9,48.8,19,86.3
29,38.9,48.8,19,86.3
22,38.9,48.8,19,86.3
23,38.9,48.8,19,86.3
24,38.9,48.8,19,86.3
26,38.9,48.8,19,86.3
27,38.9,48.8,19,86.3
28,38.9,48.8,19,86.3
29,38.9,48.8,19,86.3
20,36.7,46.6,16.8,75.2
21,36.7,46.6,16.8,75.2
22,36.7,46.6,16.8,75.2
23,36.7,46.6,16.8,75.2
25,36.7,46.6,16.8,75.2
26,36.7,46.6,16.8,75.2
27,36.7,46.6,16.8,75.2
28,36.7,46.6,16.8,75.2
29,36.7,46.6,16.8,75.2
26,29.9,39.8,10,77.4
27,29.9,39.8,10,77.4
28,29.9,39.8,10,77.4
29,29.9,39.8,10,77.4
25,30.6,40.5,10.7,78.1
26,30.6,40.5,10.7,78.1
27,30.6,40.5,10.7,78.1
28,30.6,40.5,10.7,78.1
29,30.6,40.5,10.7,78.1
24,38.1,48,18.2,73.9
25,38.1,48,18.2,73.9
26,38.1,48,18.2,73.9
27,38.1,48,18.2,73.9
28,38.1,48,18.2,73.9
29,38.1,48,18.2,73.9
20,37.8,47.7,17.9,73.7
21,37.8,47.7,17.9,73.7
22,37.8,47.7,17.9,73.7
23,37.8,47.7,17.9,73.7
25,37.8,47.7,17.9,73.7
26,37.8,47.7,17.9,73.7
27,37.8,47.7,17.9,73.7
28,37.8,47.7,17.9,73.7
29,37.8,47.7,17.9,73.7
20,37.1,47,17.2,84.6
21,37.1,47,17.2,84.6
22,37.1,47,17.2,84.6
23,37.1,47,17.2,84.6
24,37.1,47,17.2,84.6
25,37.1,47,17.2,84.6
26,37.1,47,17.2,84.6
27,37.1,47,17.2,84.6
28,37.1,47,17.2,84.6
29,37.1,47,17.2,84.6
27,38.3,48.2,18.4,74
28,38.3,48.2,18.4,74
29,38.3,48.2,18.4,74
24,37.2,47.1,17.3,75.2
25,37.2,47.1,17.3,75.2
27,37.2,47.1,17.3,75.2
28,37.2,47.1,17.3,75.2
29,37.2,47.1,17.3,75.2
25,37.5,47.4,17.6,75
26,37.5,47.4,17.6,75
27,37.5,47.4,17.6,75
28,37.5,47.4,17.6,75
29,37.5,47.4,17.6,75
25,29.6,39.5,9.1,79.6
26,29.6,39.5,9.1,79.6
27,29.6,39.5,9.1,79.6
28,29.6,39.5,9.1,79.6
29,29.6,39.5,9.1,79.6
24,32.7,42.6,12.8,80.2
26,32.7,42.6,12.8,80.2
27,32.7,42.6,12.8,80.2
28,32.7,42.6,12.8,80.2
29,32.7,42.6,12.8,80.2
23,36.9,46.8,16.6,84.4
24,36.9,46.8,16.6,84.4
25,36.9,46.8,16.6,84.4
26,36.9,46.8,16.6,84.4
27,36.9,46.8,16.6,84.4
28,36.9,46.8,16.6,84.4
29,36.9,46.8,16.6,84.4
27,31.9,41.8,12,79.3
28,31.9,41.8,12,79.3
29,31.9,41.8,12,79.3
21,36.5,46.4,16.2,84
22,36.5,46.4,16.2,84
23,36.5,46.4,16.2,84
24,36.5,46.4,16.2,84
25,36.5,46.4,16.2,84
26,36.5,46.4,16.2,84
27,36.5,46.4,16.2,84
28,36.5,46.4,16.2,84
29,36.5,46.4,16.2,84
21,37,46.9,17.1,84.4
22,37,46.9,17.1,84.4
23,37,46.9,17.1,84.4
24,37,46.9,17.1,84.4
25,37,46.9,17.1,84.4
26,37,46.9,17.1,84.4
27,37,46.9,17.1,84.4
28,37,46.9,17.1,84.4
29,37,46.9,17.1,84.4
23,33,42.9,13,80.4
24,33,42.9,13,80.4
25,33,42.9,13,80.4
26,33,42.9,13,80.4
27,33,42.9,13,80.4
28,33,42.9,13,80.4
29,33,42.9,13,80.4
23,18.6,33.5,10.2,61.7
24,18.6,33.5,10.2,61.7
25,18.6,33.5,10.2,61.7
26,18.6,33.5,10.2,61.7
27,18.6,33.5,10.2,61.7
28,18.6,33.5,10.2,61.7
29,18.6,33.5,10.2,61.7
26,18,32.9,10.6,61.1
27,18,32.9,10.6,61.1
28,18,32.9,10.6,61.1
29,18,32.9,10.6,61.1
24,37.3,47.2,17.4,84.7
25,37.3,47.2,17.4,84.7
26,37.3,47.2,17.4,84.7
27,37.3,47.2,17.4,84.7
28,37.3,47.2,17.4,84.7
29,37.3,47.2,17.4,84.7
20,33.9,43.8,14,81.3
21,33.9,43.8,14,81.3
22,33.9,43.8,14,81.3
23,33.9,43.8,14,81.3
24,33.9,43.8,14,81.3
25,33.9,43.8,14,81.3
26,33.9,43.8,14,81.3
27,33.9,43.8,14,81.3
28,33.9,43.8,14,81.3
29,33.9,43.8,14,81.3
13,30.5,40.4,10.6,77.9
15,30.5,40.4,10.6,77.9
16,30.5,40.4,10.6,77.9
24,30.5,40.4,10.6,77.9
26,30.5,40.4,10.6,77.9
27,30.5,40.4,10.6,77.9
28,30.5,40.4,10.6,77.9
29,30.5,40.4,10.6,77.9
26,33.9,43.8,14,81.3
27,33.9,43.8,14,81.3
28,33.9,43.8,14,81.3
29,33.9,43.8,14,81.3
23,25.8,35.7,2.7,69.1
24,25.8,35.7,2.7,69.1
27,25.8,35.7,2.7,69.1
28,25.8,35.7,2.7,69.1
29,25.8,35.7,2.7,69.1
20,34.5,44.4,14.6,81.9
23,34.5,44.4,14.6,81.9
24,34.5,44.4,14.6,81.9
25,34.5,44.4,14.6,81.9
26,34.5,44.4,14.6,81.9
27,34.5,44.4,14.6,81.9
28,34.5,44.4,14.6,81.9
29,34.5,44.4,14.6,81.9
23,34.7,44.6,15,77.4
25,34.7,44.6,15,77.4
26,34.7,44.6,15,77.4
27,34.7,44.6,15,77.4
28,34.7,44.6,15,77.4
29,34.7,44.6,15,77.4
5,31.8,41.7,10.8,79.3
6,31.8,41.7,10.8,79.3
13,31.8,41.7,10.8,79.3
14,31.8,41.7,10.8,79.3
15,31.8,41.7,10.8,79.3
16,31.8,41.7,10.8,79.3
17,31.8,41.7,10.8,79.3
18,31.8,41.7,10.8,79.3
23,31.8,41.7,10.8,79.3
25,31.8,41.7,10.8,79.3
26,31.8,41.7,10.8,79.3
27,31.8,41.7,10.8,79.3
28,31.8,41.7,10.8,79.3
29,31.8,41.7,10.8,79.3
20,34.3,44.2,14.4,81.8
21,34.3,44.2,14.4,81.8
22,34.3,44.2,14.4,81.8
23,34.3,44.2,14.4,81.8
24,34.3,44.2,14.4,81.8
25,34.3,44.2,14.4,81.8
26,34.3,44.2,14.4,81.8
27,34.3,44.2,14.4,81.8
28,34.3,44.2,14.4,81.8
29,34.3,44.2,14.4,81.8
