Time,Airport,Altamount,Vashi,Virar,Malls
9,24,36.1,3.9,67.1,0
10,24,36.1,3.9,67.1,0
11,24,36.1,3.9,67.1,0
12,24,36.1,3.9,67.1,0
13,24,36.1,3.9,67.1,0
14,24,36.1,3.9,67.1,0
15,24,36.1,3.9,67.1,0
16,24,36.1,3.9,67.1,0
17,24,36.1,3.9,67.1,0
18,24,36.1,3.9,67.1,0
19,24,36.1,3.9,67.1,0
20,24,36.1,3.9,67.1,0
21,24,36.1,3.9,67.1,0
22,24,36.1,3.9,67.1,0
23,24,36.1,3.9,67.1,0
24,24,36.1,3.9,67.1,0
25,24,36.1,3.9,67.1,0
26,24,36.1,3.9,67.1,0
21,38.3,48.2,18.4,74.2,0
22,38.3,48.2,18.4,74.2,0
23,38.3,48.2,18.4,74.2,0
24,38.3,48.2,18.4,74.2,0
25,38.3,48.2,18.4,74.2,0
26,38.3,48.2,18.4,74.2,0
20,39,48.9,19.1,75.9,0
22,39,48.9,19.1,75.9,0
24,39,48.9,19.1,75.9,0
25,39,48.9,19.1,75.9,0
26,39,48.9,19.1,75.9,0
0,28.7,38.6,7,76.2,5
1,28.7,38.6,7,76.2,5
2,28.7,38.6,7,76.2,5
3,28.7,38.6,7,76.2,5
4,28.7,38.6,7,76.2,5
5,28.7,38.6,7,76.2,5
6,28.7,38.6,7,76.2,5
7,28.7,38.6,7,76.2,5
8,28.7,38.6,7,76.2,5
9,28.7,38.6,7,76.2,5
10,28.7,38.6,7,76.2,5
11,28.7,38.6,7,76.2,5
12,28.7,38.6,7,76.2,5
13,28.7,38.6,7,76.2,5
14,28.7,38.6,7,76.2,5
15,28.7,38.6,7,76.2,5
16,28.7,38.6,7,76.2,5
17,28.7,38.6,7,76.2,5
18,28.7,38.6,7,76.2,5
19,28.7,38.6,7,76.2,5
20,28.7,38.6,7,76.2,5
21,28.7,38.6,7,76.2,5
22,28.7,38.6,7,76.2,5
23,28.7,38.6,7,76.2,5
24,28.7,38.6,7,76.2,5
