Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,27,17.7,32.6,18.1,56.4,2
1,28,17.7,32.6,18.1,56.4,2
1,29,17.7,32.6,18.1,56.4,2
1,27,17.3,32.2,17.7,57,3
1,28,17.3,32.2,17.7,57,3
1,29,17.3,32.2,17.7,57,3
1,27,5.7,30.3,24.1,59.6,3
1,28,5.7,30.3,24.1,59.6,3
1,29,5.7,30.3,24.1,59.6,3
1,27,4.8,26.8,25.1,60.6,0
1,28,4.8,26.8,25.1,60.6,0
1,29,4.8,26.8,25.1,60.6,0
1,28,10.2,26.3,20.2,62.3,0
1,29,10.2,26.3,20.2,62.3,0
1,28,9.6,12.5,18.8,67.7,0
1,29,9.6,12.5,18.8,67.7,0
1,27,8.6,13.1,18.2,66.8,0
1,28,8.6,13.1,18.2,66.8,0
1,29,8.6,13.1,18.2,66.8,0
1,27,10.2,17.7,13.5,69.3,0
1,28,10.2,17.7,13.5,69.3,0
1,29,10.2,17.7,13.5,69.3,0
1,27,10.3,22.9,13.7,69.2,4
1,28,10.3,22.9,13.7,69.2,4
1,29,10.3,22.9,13.7,69.2,4
1,27,17.1,24.5,18.3,66.1,2
1,28,17.1,24.5,18.3,66.1,2
1,29,17.1,24.5,18.3,66.1,2
1,27,17.1,24.5,18.3,66.1,1
1,28,17.1,24.5,18.3,66.1,1
1,29,17.1,24.5,18.3,66.1,1
1,27,12.9,18.2,17.5,74.3,1
1,28,12.9,18.2,17.5,74.3,1
1,29,12.9,18.2,17.5,74.3,1
1,27,16.7,7.3,25.1,85,0
1,28,16.7,7.3,25.1,85,0
1,29,16.7,7.3,25.1,85,0
1,27,14.1,19.5,14,77,2
1,28,14.1,19.5,14,77,2
1,29,14.1,19.5,14,77,2
1,27,14.1,19.5,14,77,2
1,28,14.1,19.5,14,77,2
1,29,14.1,19.5,14,77,2
1,28,10.1,17.5,12.1,69.5,1
1,29,10.1,17.5,12.1,69.5,1
1,27,13.1,23.3,11.3,71,0
1,28,13.1,23.3,11.3,71,0
1,29,13.1,23.3,11.3,71,0
1,27,13.7,24.3,10.9,70.3,1
1,29,13.7,24.3,10.9,70.3,1
1,27,10.5,14.4,17.3,73.3,0
1,28,10.5,14.4,17.3,73.3,0
1,29,10.5,14.4,17.3,73.3,0
1,28,16.7,7.3,23.7,83.6,1
1,29,16.7,7.3,23.7,83.6,1
1,27,11.9,15.8,13.8,71.2,1
1,28,11.9,15.8,13.8,71.2,1
1,29,11.9,15.8,13.8,71.2,1
1,27,10.2,17.7,13.5,69.3,0
1,28,10.2,17.7,13.5,69.3,0
1,29,10.2,17.7,13.5,69.3,0
1,27,14.9,12.6,21.8,81.7,1
1,28,14.9,12.6,21.8,81.7,1
1,29,14.9,12.6,21.8,81.7,1
1,27,13.3,10.6,19.8,79.8,1
1,28,13.3,10.6,19.8,79.8,1
1,29,13.3,10.6,19.8,79.8,1
1,27,11.2,10.5,19.1,69.4,0
1,28,11.2,10.5,19.1,69.4,0
1,29,11.2,10.5,19.1,69.4,0
1,27,16.8,4.4,27.6,74.9,2
1,28,16.8,4.4,27.6,74.9,2
1,29,16.8,4.4,27.6,74.9,2
1,27,18.8,0,29.3,77,0
1,28,18.8,0,29.3,77,0
1,29,18.8,0,29.3,77,0
1,27,18.8,1.4,29.5,77,1
1,28,18.8,1.4,29.5,77,1
1,29,18.8,1.4,29.5,77,1
1,28,23.4,5.2,28.8,81,2
1,29,23.4,5.2,28.8,81,2
1,27,26.5,8.9,31.4,91.3,4
1,28,26.5,8.9,31.4,91.3,4
1,29,26.5,8.9,31.4,91.3,4
1,27,25.6,8,30.5,90.5,1
1,28,25.6,8,30.5,90.5,1
1,29,25.6,8,30.5,90.5,1
1,27,9.8,8.9,21.4,69.1,3
1,28,9.8,8.9,21.4,69.1,3
